Time,,Time,BETR.,time,Day Ahead Price hourly [in EUR/MWh],Intraday Price Price Quarter Hourly  [in EUR/MWh],Intraday Price Hourly  [in EUR/MWh],Imbalance Price Quarter Hourly  [in EUR/MWh],new_col,date,Year,multiplier,spread,PnL,Cum_PnL
2021-01-01,79,2021-01-01 20:00:00+01:00,-494.465,2021-01-01 19:45:00,60.36,55.53,62.97,14.75,18,2021-01-01,2021,-1,-40.78,40.78,225.43
2021-01-01,80,2021-01-01 20:15:00+01:00,-220.77,2021-01-01 20:00:00,57.4,65.57,59.78,1.72,19,2021-01-01,2021,0,-63.849999999999994,-0.0,225.43
2021-01-01,81,2021-01-01 20:30:00+01:00,-102.432,2021-01-01 20:15:00,57.4,60.58,59.78,-2.05,20,2021-01-01,2021,0,-62.629999999999995,-0.0,225.43
2021-01-01,82,2021-01-01 20:45:00+01:00,5.759,2021-01-01 20:30:00,57.4,52.96,59.78,78.71,21,2021-01-01,2021,-1,25.749999999999993,-25.749999999999993,199.68
2021-01-01,83,2021-01-01 21:00:00+01:00,114.573,2021-01-01 20:45:00,57.4,49.66,59.78,52.01,22,2021-01-01,2021,-1,2.3500000000000014,-2.3500000000000014,197.33
2021-01-01,84,2021-01-01 21:15:00+01:00,338.386,2021-01-01 21:00:00,53.86,61.23,54.1,93.8,23,2021-01-01,2021,-1,32.57,-32.57,164.76000000000002
2021-01-01,85,2021-01-01 21:30:00+01:00,469.865,2021-01-01 21:15:00,53.86,56.88,54.1,71.75,24,2021-01-01,2021,-1,14.869999999999997,-14.869999999999997,149.89000000000001
2021-01-01,86,2021-01-01 21:45:00+01:00,201.755,2021-01-01 21:30:00,53.86,51.19,54.1,62.81,25,2021-01-01,2021,-1,11.620000000000005,-11.620000000000005,138.27
2021-01-01,87,2021-01-01 22:00:00+01:00,-75.131,2021-01-01 21:45:00,53.86,45.91,54.1,1.55,26,2021-01-01,2021,-1,-44.36,44.36,182.63
2021-01-01,88,2021-01-01 22:15:00+01:00,-806.432,2021-01-01 22:00:00,53.45,85.54,58.46,10.05,27,2021-01-01,2021,-1,-75.49000000000001,75.49000000000001,258.12
2021-01-01,89,2021-01-01 22:30:00+01:00,-897.519,2021-01-01 22:15:00,53.45,68.09,58.46,-4.4,28,2021-01-01,2021,-1,-72.49000000000001,72.49000000000001,330.61
2021-01-01,90,2021-01-01 22:45:00+01:00,-491.538,2021-01-01 22:30:00,53.45,51.24,58.46,4.85,29,2021-01-01,2021,-1,-46.39,46.39,377.0
2021-01-01,91,2021-01-01 23:00:00+01:00,-360.109,2021-01-01 22:45:00,53.45,38.46,58.46,7.38,30,2021-01-01,2021,-1,-31.080000000000002,31.080000000000002,408.08
2021-01-01,92,2021-01-01 23:15:00+01:00,-666.433,2021-01-01 23:00:00,49.72,57.41,49.38,14.49,31,2021-01-01,2021,-1,-42.919999999999995,42.919999999999995,451.0
2021-01-01,93,2021-01-01 23:30:00+01:00,-499.048,2021-01-01 23:15:00,49.72,52.74,49.38,10.63,32,2021-01-01,2021,-1,-42.11,42.11,493.11
2021-01-01,94,2021-01-01 23:45:00+01:00,-5.358,2021-01-01 23:30:00,49.72,39.1,49.38,14.49,33,2021-01-01,2021,-1,-24.61,24.61,517.72
2021-01-01,95,2021-01-01 00:00:00+01:00,43.939,2021-01-01 23:45:00,49.72,27.32,49.38,23.63,34,2021-01-01,2021,-1,-3.6900000000000013,3.6900000000000013,521.4100000000001
2021-01-02,158,2021-01-02 15:45:00+01:00,-16.81,2021-01-02 15:30:00,53.45,55.74,55.87,-9.72,1,2021-01-02,2021,0,-65.46000000000001,-0.0,521.4100000000001
2021-01-02,159,2021-01-02 16:00:00+01:00,-110.38,2021-01-02 15:45:00,53.45,56.75,55.87,43.24,2,2021-01-02,2021,0,-13.509999999999998,-0.0,521.4100000000001
2021-01-02,160,2021-01-02 16:15:00+01:00,-60.236,2021-01-02 16:00:00,59.99,41.96,57.54,22.0,3,2021-01-02,2021,-1,-19.96,19.96,541.3700000000001
2021-01-02,161,2021-01-02 16:30:00+01:00,-90.13,2021-01-02 16:15:00,59.99,54.95,57.54,18.29,4,2021-01-02,2021,-1,-36.660000000000004,36.660000000000004,578.0300000000001
2021-01-02,162,2021-01-02 16:45:00+01:00,84.195,2021-01-02 16:30:00,59.99,57.43,57.54,64.24,5,2021-01-02,2021,0,6.809999999999995,0.0,578.0300000000001
2021-01-02,163,2021-01-02 17:00:00+01:00,-58.7,2021-01-02 16:45:00,59.99,63.54,57.54,-18.39,6,2021-01-02,2021,0,-81.93,-0.0,578.0300000000001
2021-01-02,164,2021-01-02 17:15:00+01:00,238.45,2021-01-02 17:00:00,62.0,51.32,62.22,72.27,7,2021-01-02,2021,0,20.949999999999996,0.0,578.0300000000001
2021-01-02,165,2021-01-02 17:30:00+01:00,100.967,2021-01-02 17:15:00,62.0,60.53,62.22,71.38,8,2021-01-02,2021,0,10.849999999999994,0.0,578.0300000000001
2021-01-02,166,2021-01-02 17:45:00+01:00,29.746,2021-01-02 17:30:00,62.0,64.26,62.22,68.11,9,2021-01-02,2021,0,3.8499999999999943,0.0,578.0300000000001
2021-01-02,167,2021-01-02 18:00:00+01:00,-233.265,2021-01-02 17:45:00,62.0,64.52,62.22,32.63,10,2021-01-02,2021,0,-31.889999999999993,-0.0,578.0300000000001
2021-01-02,168,2021-01-02 18:15:00+01:00,-167.694,2021-01-02 18:00:00,63.08,68.51,61.8,18.29,11,2021-01-02,2021,-1,-50.220000000000006,50.220000000000006,628.2500000000001
2021-01-02,169,2021-01-02 18:30:00+01:00,-221.03,2021-01-02 18:15:00,63.08,60.36,61.8,16.99,12,2021-01-02,2021,-1,-43.370000000000005,43.370000000000005,671.6200000000001
2021-01-02,170,2021-01-02 18:45:00+01:00,-275.498,2021-01-02 18:30:00,63.08,58.11,61.8,16.19,13,2021-01-02,2021,-1,-41.92,41.92,713.5400000000001
2021-01-02,171,2021-01-02 19:00:00+01:00,-453.279,2021-01-02 18:45:00,63.08,50.06,61.8,18.29,14,2021-01-02,2021,-1,-31.770000000000003,31.770000000000003,745.3100000000001
2021-01-02,172,2021-01-02 19:15:00+01:00,-166.646,2021-01-02 19:00:00,62.17,66.21,60.86,32.74,15,2021-01-02,2021,-1,-33.46999999999999,33.46999999999999,778.7800000000001
2021-01-02,173,2021-01-02 19:30:00+01:00,20.32,2021-01-02 19:15:00,62.17,54.77,60.86,89.05,16,2021-01-02,2021,-1,34.279999999999994,-34.279999999999994,744.5000000000001
2021-01-02,174,2021-01-02 19:45:00+01:00,-163.51,2021-01-02 19:30:00,62.17,56.31,60.86,17.05,17,2021-01-02,2021,-1,-39.260000000000005,39.260000000000005,783.7600000000001
2021-01-02,175,2021-01-02 20:00:00+01:00,-335.135,2021-01-02 19:45:00,62.17,44.79,60.86,15.49,18,2021-01-02,2021,-1,-29.299999999999997,29.299999999999997,813.0600000000001
2021-01-02,176,2021-01-02 20:15:00+01:00,-375.275,2021-01-02 20:00:00,60.03,63.2,56.74,30.23,19,2021-01-02,2021,0,-32.97,-0.0,813.0600000000001
2021-01-02,177,2021-01-02 20:30:00+01:00,-110.443,2021-01-02 20:15:00,60.03,58.51,56.74,13.54,20,2021-01-02,2021,0,-44.97,-0.0,813.0600000000001
2021-01-02,178,2021-01-02 20:45:00+01:00,-125.442,2021-01-02 20:30:00,60.03,53.74,56.74,10.14,21,2021-01-02,2021,-1,-43.6,43.6,856.6600000000001
2021-01-02,179,2021-01-02 21:00:00+01:00,-428.764,2021-01-02 20:45:00,60.03,40.19,56.74,6.21,22,2021-01-02,2021,-1,-33.98,33.98,890.6400000000001
2021-01-02,180,2021-01-02 21:15:00+01:00,-118.107,2021-01-02 21:00:00,55.03,57.64,51.79,6.76,23,2021-01-02,2021,-1,-50.88,50.88,941.5200000000001
2021-01-02,181,2021-01-02 21:30:00+01:00,-523.337,2021-01-02 21:15:00,55.03,54.92,51.79,30.29,24,2021-01-02,2021,-1,-24.630000000000003,24.630000000000003,966.1500000000001
2021-01-02,182,2021-01-02 21:45:00+01:00,-376.51,2021-01-02 21:30:00,55.03,46.66,51.79,16.81,25,2021-01-02,2021,-1,-29.849999999999998,29.849999999999998,996.0000000000001
2021-01-02,183,2021-01-02 22:00:00+01:00,-336.134,2021-01-02 21:45:00,55.03,38.14,51.79,11.58,26,2021-01-02,2021,-1,-26.560000000000002,26.560000000000002,1022.5600000000002
2021-01-02,184,2021-01-02 22:15:00+01:00,-418.028,2021-01-02 22:00:00,52.25,57.84,47.88,28.43,27,2021-01-02,2021,-1,-29.410000000000004,29.410000000000004,1051.9700000000003
2021-01-02,185,2021-01-02 22:30:00+01:00,-474.908,2021-01-02 22:15:00,52.25,44.24,47.88,27.05,28,2021-01-02,2021,-1,-17.19,17.19,1069.1600000000003
2021-01-02,186,2021-01-02 22:45:00+01:00,-652.133,2021-01-02 22:30:00,52.25,44.48,47.88,-1.02,29,2021-01-02,2021,-1,-45.5,45.5,1114.6600000000003
2021-01-02,187,2021-01-02 23:00:00+01:00,-641.846,2021-01-02 22:45:00,52.25,33.69,47.88,-0.71,30,2021-01-02,2021,-1,-34.4,34.4,1149.0600000000004
2021-01-02,188,2021-01-02 23:15:00+01:00,-662.682,2021-01-02 23:00:00,48.45,41.86,41.17,16.8,31,2021-01-02,2021,-1,-25.06,25.06,1174.1200000000003
2021-01-02,189,2021-01-02 23:30:00+01:00,-738.052,2021-01-02 23:15:00,48.45,37.79,41.17,14.27,32,2021-01-02,2021,-1,-23.52,23.52,1197.6400000000003
2021-01-02,190,2021-01-02 23:45:00+01:00,-517.37,2021-01-02 23:30:00,48.45,32.65,41.17,-2.07,33,2021-01-02,2021,-1,-34.72,34.72,1232.3600000000004
2021-01-02,191,2021-01-02 00:00:00+01:00,-827.297,2021-01-02 23:45:00,48.45,29.59,41.17,-94.13,34,2021-01-02,2021,-1,-123.72,123.72,1356.0800000000004
2021-01-03,254,2021-01-03 15:45:00+01:00,777.714,2021-01-03 15:30:00,39.57,41.0,40.93,64.12,1,2021-01-03,2021,0,23.120000000000005,0.0,1356.0800000000004
2021-01-03,255,2021-01-03 16:00:00+01:00,553.138,2021-01-03 15:45:00,39.57,42.54,40.93,68.31,2,2021-01-03,2021,0,25.770000000000003,0.0,1356.0800000000004
2021-01-03,256,2021-01-03 16:15:00+01:00,559.217,2021-01-03 16:00:00,36.11,40.01,45.44,64.12,3,2021-01-03,2021,-1,24.110000000000007,-24.110000000000007,1331.9700000000005
2021-01-03,257,2021-01-03 16:30:00+01:00,843.631,2021-01-03 16:15:00,36.11,41.77,45.44,68.9,4,2021-01-03,2021,-1,27.130000000000003,-27.130000000000003,1304.8400000000004
2021-01-03,258,2021-01-03 16:45:00+01:00,871.166,2021-01-03 16:30:00,36.11,53.96,45.44,128.77,5,2021-01-03,2021,0,74.81,0.0,1304.8400000000004
